provinsi;kabupaten;jumlah_penduduk;persentase_miskin;ipm;tingkat_pengangguran;luas;;
Kalimantan Barat;Sambas;647844;6.92;67.95;5.08;6716.52;;
Kalimantan Barat;Bengkayang;296855;6.03;68.74;2.84;5075.48;;
Kalimantan Barat;Landak;405396;10.01;67.17;1.78;8915.10;;
Kalimantan Barat;Mempawah;310927;5.32;66.94;7.48;2797.88;;
Kalimantan Barat;Sanggau;492989;4.51;66.91;3.76;12857.80;;
Kalimantan Barat;Ketapang;591917;9.39;67.92;6.71;31240.74;;
Kalimantan Barat;Sintang;426416;8.57;67.86;2.97;21638.20;;
Kalimantan Barat;Kapuas Hulu;254995;8.59;66.70;2.21;29842.00;;
Kalimantan Barat;Sekadau;214429;5.85;65.58;1.33;5444.20;;
Kalimantan Barat;Melawi;235025;11.44;66.81;1.95;10640.80;;
Kalimantan Barat;Kayong Utara;131104;9.04;63.81;3.10;4568.26;;
Kalimantan Barat;Kubu Raya;622217;4.12;68.91;6.87;6958.22;;
Kalimantan Barat;Kota Pontianak;669795;4.46;80.48;9.92;107.80;;
Kalimantan Barat;Kota Singkawang;241467;4.67;72.89;8.63;504.00;;
Kalimantan Timur;Paser;286952;9.43;73.44;4.88;11096.96;;
Kalimantan Timur;Kutai Barat;155285;10.20;72.92;4.62;13709.92;;
Kalimantan Timur;Kutai Kartanegara;791855;7.96;74.67;4.14;25988.08;;
Kalimantan Timur;Kutai Timur;399453;9.28;74.35;6.48;31051.71;;
Kalimantan Timur;Berau;236325;5.65;75.74;5.02;21735.19;;
Kalimantan Timur;Penajam Paser Utara;159073;7.25;72.55;2.12;2923.73;;
Kalimantan Timur;Mahakam Ulu;27201;11.55;68.75;2.44;19449.41;;
Kalimantan Timur;Balikpapan;645299;2.45;81.13;6.90;512.25;;
Kalimantan Timur;Samarinda;865911;4.85;81.43;6.78;716.53;;
Kalimantan Timur;Bontang;185251;4.54;80.94;7.81;163.14;;
Kalimantan Tengah;Kotawaringin Barat;274935;3.93;73.41;4.51;10759.00;;
Kalimantan Tengah;Kotawaringin Timur;436079;5.95;71.67;5.00;16796.00;;
Kalimantan Tengah;Kapuas;423210;5.52;70.01;3.91;14999.00;;
Kalimantan Tengah;Barito Selatan;131997;4.88;71.01;3.53;8830.00;;
Kalimantan Tengah;Barito Utara;160235;5.80;71.21;4.82;8300.00;;
Kalimantan Tengah;Sukamara;66845;3.72;68.94;6.46;3827.00;;
Kalimantan Tengah;Lamandau;104387;3.34;71.11;3.41;6414.00;;
Kalimantan Tengah;Seruyan;166072;7.43;68.24;3.96;16404.00;;
Kalimantan Tengah;Katingan;163989;5.50;69.74;5.33;17500.00;;
Kalimantan Tengah;Pulang Pisau;136221;4.70;69.01;1.96;8997.00;;
Kalimantan Tengah;Gunung Mas;142309;5.64;71.40;2.96;10805.00;;
Kalimantan Tengah;Barito Timur;115406;6.59;72.07;2.95;3834.00;;
Kalimantan Tengah;Murung Raya;113483;6.40;68.63;2.77;23700.00;;
Kalimantan Tengah;Palangka Raya;305907;3.61;81.16;5.64;2399.50;;
Kalimantan Selatan;Tanah Laut;354340;3.86;70.35;4.17;3631.35;;
Kalimantan Selatan;Kotabaru;329483;4.30;69.74;6.70;9482.73;;
Kalimantan Selatan;Banjar;572109;2.79;70.72;2.72;4668.00;;
Kalimantan Selatan;Barito Kuala;316963;4.75;67.37;3.63;2996.46;;
Kalimantan Selatan;Tapin;191801;3.60;71.02;4.15;2700.82;;
Kalimantan Selatan;Hulu Sungai Selatan;229960;4.54;69.76;2.29;1804.94;;
Kalimantan Selatan;Hulu Sungai Tengah;260754;5.92;69.70;3.35;1472.00;;
Kalimantan Selatan;Hulu Sungai Utara;228831;6.49;66.84;4.64;892.70;;
Kalimantan Selatan;Tabalong;256903;5.87;73.13;4.46;3766.97;;
Kalimantan Selatan;Tanah Bumbu;328146;4.26;71.79;6.89;5006.96;;
Kalimantan Selatan;Balangan;132213;5.83;69.73;3.98;1878.30;;
Kalimantan Selatan;Kota Banjarmasin;662320;4.74;77.97;6.96;72.00;;
Kalimantan Selatan;Kota Banjar Baru;258753;4.17;79.68;5.47;371.00;;
Kalimantan Utara;Malinau;83371;6.64;72.75;3.30;42620.70;;
Kalimantan Utara;Bulungan;162878;9.32;72.08;5.03;13925.72;;
Kalimantan Utara;Tana Tidung;27980;4.45;68.60;3.33;4828.58;;
Kalimantan Utara;Nunukan;213750;6.13;67.16;2.74;13841.90;;
Kalimantan Utara;Tarakan;246734;6.30;76.68;5.76;250.80;;
;;;;;;;;
